"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\chi\pages\HomePage.tsx", "TypeScript JSX", 10, 0, 0, 10
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\chi\pages\PutDataManually.tsx", "TypeScript JSX", 13, 68, 0, 81
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\chi\pages\ReadExcelFile.tsx", "TypeScript JSX", 0, 49, 0, 49
"Total", "-", 23, 117, 0, 140
