"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\abels\OneDrive\Escritorio\proyecto-2-equipo-2\src\chi\pages\PutDataManually.tsx", "TypeScript JSX", 132, 99, 2, 233
"Total", "-", 132, 99, 2, 233
